id,recommendations
761140,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', 'Sam & Max 101: Culture Shock', 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
643980,"['Planetarium 2 - Zen Odyssey', 'DinoBlaster', 'Christmas Santa Troubles', 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
670290,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', ""Tom Clancy's Rainbow Six® Vegas"", 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
767400,"['Christmas Santa Troubles', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Earth Defense Force Aerialist Munitions Package', 'Atooms to Moolecules Demo']"
773570,"['DinoBlaster', 'Christmas Santa Troubles', 'Death to Spies', 'Earth Defense Force Aerialist Munitions Package', 'Atooms to Moolecules Demo']"
772540,"['Christmas Santa Troubles', 'Death to Spies', 'Gain Ground™', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo']"
774276,"['Christmas Santa Troubles', 'Death to Spies', 'Majesty 2 Collection', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil']"
774277,"['Christmas Santa Troubles', 'Gain Ground™', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
774278,"['Christmas Santa Troubles', 'Civilization V - Babylon (Nebuchadnezzar II)', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo', 'Ticket to Ride']"
768800,"['Christmas Santa Troubles', 'Death to Spies', 'Act of War: Direct Action', 'Gain Ground™', 'Atooms to Moolecules Demo']"
768570,"['Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
724910,"['DinoBlaster', 'Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Majesty 2 Collection', 'Saints Row: The Third Initiation Station']"
770380,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Death to Spies', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
768880,"['Planetarium 2 - Zen Odyssey', 'DinoBlaster', 'Christmas Santa Troubles', 'Far Cry®', 'Section 8: Prejudice Blitz Pack']"
765320,"['DinoBlaster', 'Christmas Santa Troubles', 'Clickr', 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
773650,"['Christmas Santa Troubles', 'Death to Spies', 'Gain Ground™', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo']"
774271,"['The Warrior Of Treasures', 'Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', 'Gain Ground™', 'Painkiller: Recurring Evil']"
773690,"['Christmas Santa Troubles', 'Death to Spies', ""Tom Clancy's Rainbow Six® Vegas"", 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
774279,"['Race', 'Christmas Santa Troubles', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil']"
772590,"['Christmas Santa Troubles', 'Gain Ground™', 'Civilization V - Babylon (Nebuchadnezzar II)', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo']"
640250,"['Planetarium 2 - Zen Odyssey', 'DinoBlaster', 'Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Atooms to Moolecules Demo']"
768060,"['Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', 'Gain Ground™', 'Section 8: Prejudice Blitz Pack', 'Painkiller: Recurring Evil']"
711440,"['DinoBlaster', 'Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Saints Row: The Third Initiation Station']"
775880,"['Race', 'Christmas Santa Troubles', 'Death to Spies', 'Gain Ground™', 'Atooms to Moolecules Demo']"
775881,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Death to Spies', 'Saints Row: The Third Initiation Station']"
653960,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Far Cry®', 'Section 8: Prejudice Blitz Pack']"
777910,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', '18 Wheels of Steel: American Long Haul', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
282010,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', 'Ultimate Doom', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
70,"['Christmas Santa Troubles', 'Ultimate Doom', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Saints Row: The Third Initiation Station']"
752360,"['DinoBlaster', 'Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Midnight Club 2', 'Saints Row: The Third Initiation Station']"
594200,"['Christmas Santa Troubles', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
520680,"['Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', 'Peggle™ Nights', 'Saints Row: The Third Initiation Station', 'Ticket to Ride']"
690410,"['Christmas Santa Troubles', 'Ultimate Doom', 'Mystery Case Files: Madame Fate®', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
766850,"['Christmas Santa Troubles', 'Ultimate Doom', 'Far Cry®', 'Section 8: Prejudice Blitz Pack', 'Saints Row: The Third Initiation Station']"
413120,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', ""Tom Clancy's Rainbow Six® Vegas"", 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
773120,"['Civilization V - Babylon (Nebuchadnezzar II)', 'Section 8: Prejudice Blitz Pack', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo', 'Ticket to Ride']"
680970,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', 'Act of War: Direct Action', 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
754360,"['Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', ""Tom Clancy's Rainbow Six® Vegas"", 'Peggle™ Nights', 'Atooms to Moolecules Demo']"
716110,"['Christmas Santa Troubles', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
1640,"['Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', 'Gain Ground™', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
1630,"['Planetarium 2 - Zen Odyssey', 'Christmas Santa Troubles', 'Death to Spies', 'Peggle™ Nights', 'Atooms to Moolecules Demo']"
2400,"['Christmas Santa Troubles', 'Death to Spies', 'Gain Ground™', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo']"
662570,"['Christmas Santa Troubles', 'Ultimate Doom', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil']"
381620,"['Christmas Santa Troubles', 'Mystery Case Files: Madame Fate®', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Atooms to Moolecules Demo']"
714020,"['Christmas Santa Troubles', 'Death to Spies', 'Act of War: Direct Action', 'Gain Ground™', 'Atooms to Moolecules Demo']"
541930,"['Christmas Santa Troubles', '18 Wheels of Steel: American Long Haul', 'Death to Spies', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
759920,"['Planetarium 2 - Zen Odyssey', 'DinoBlaster', 'Christmas Santa Troubles', 'Death to Spies', 'Atooms to Moolecules Demo']"
659780,"['Race', 'Christmas Santa Troubles', 'Death to Spies', 'Gain Ground™', 'Atooms to Moolecules Demo']"
603280,"['Planetarium 2 - Zen Odyssey', 'DinoBlaster', 'Christmas Santa Troubles', ""Tom Clancy's Rainbow Six® Vegas"", 'Section 8: Prejudice Blitz Pack']"
753110,"['Planetarium 2 - Zen Odyssey', 'DinoBlaster', 'Christmas Santa Troubles', 'Section 8: Prejudice Blitz Pack', 'Saints Row: The Third Initiation Station']"
753100,"['DinoBlaster', 'Christmas Santa Troubles', 'Death to Spies', 'Far Cry®', 'Atooms to Moolecules Demo']"
769350,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Death to Spies', 'Majesty 2 Collection']"
764280,"['Christmas Santa Troubles', 'Death to Spies', 'Far Cry®', ""Tom Clancy's Rainbow Six® Vegas"", 'Atooms to Moolecules Demo']"
374970,"['Christmas Santa Troubles', 'Ultimate Doom', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Saints Row: The Third Initiation Station']"
758550,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Death to Spies', 'Majesty 2 Collection']"
3800,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Death to Spies', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
1520,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', 'Death to Spies', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
2420,"['Race', 'DinoBlaster', 'Christmas Santa Troubles', 'Death to Spies', 'Atooms to Moolecules Demo']"
4000,"['Christmas Santa Troubles', 'Death to Spies', 'Civilization V - Babylon (Nebuchadnezzar II)', 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
4230,"['Christmas Santa Troubles', 'QUAKE Mission Pack 1: Scourge of Armagon', '18 Wheels of Steel: American Long Haul', 'Saints Row: The Third Initiation Station']"
4900,"['Christmas Santa Troubles', 'Death to Spies', 'Saints Row: The Third Initiation Station', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
2520,"['Christmas Santa Troubles', 'Death to Spies', 'Section 8: Prejudice Blitz Pack', 'Saints Row: The Third Initiation Station', 'Earth Defense Force Aerialist Munitions Package']"
6200,"['Christmas Santa Troubles', 'Ultimate Doom', 'Death to Spies', 'Saints Row: The Third Initiation Station']"
6210,"['Race', 'Death to Spies', 'Act of War: Direct Action', 'Gain Ground™', 'Painkiller: Recurring Evil']"
6300,"['Christmas Santa Troubles', 'Death to Spies', 'Gain Ground™', 'Painkiller: Recurring Evil', 'Atooms to Moolecules Demo']"
2990,"['Christmas Santa Troubles', 'Death to Spies', ""Tom Clancy's Rainbow Six® Vegas"", 'Section 8: Prejudice Blitz Pack', 'Atooms to Moolecules Demo']"
6220,"['DinoBlaster', 'Christmas Santa Troubles', 'Ultimate Doom', 'Saints Row: The Third Initiation Station']"
6510,"['DinoBlaster', 'Christmas Santa Troubles', 'Death to Spies', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
3980,"['DinoBlaster', 'Christmas Santa Troubles', 'Death to Spies', 'Far Cry®', 'Saints Row: The Third Initiation Station']"
